state,district,avg_monthly_updates,update_stability_score,anomaly_resolution_rate,resource_adequacy_score,capacity_classification,absorption_capability,explanatory_note
Andhra Pradesh,Ananthapuramu,14326.833333333334,52.95327068336347,1.0,57.5,Adequately Resourced,At Risk,Stable operations (14327 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Annamayya,4834.0,50.319270019911436,1.0,47.3,Adequately Resourced,At Risk,Stable operations (4834 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Bapatla,2436.0,46.18650052184398,1.0,43.5,Adequately Resourced,At Risk,Stable operations (2436 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Chittoor,41890.0,57.96111063101059,1.0,85.3,Well Resourced,At Risk,Strong operational capacity with 41890 avg monthly updates and 58/100 stability. Monitor for demand surge.
Andhra Pradesh,Cuddapah,27521.5,53.15567993596044,1.0,70.4,Well Resourced,At Risk,Strong operational capacity with 27522 avg monthly updates and 53/100 stability. Monitor for demand surge.
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2730.6666666666665,35.69663821775557,1.0,40.2,Adequately Resourced,At Risk,Stable operations (2731 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,East Godavari,47097.666666666664,54.716653632524626,1.0,84.2,Well Resourced,At Risk,Strong operational capacity with 47098 avg monthly updates and 55/100 stability. Monitor for demand surge.
Andhra Pradesh,Eluru,3289.8333333333335,37.72857008136464,1.0,41.4,Adequately Resourced,At Risk,Stable operations (3290 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Guntur,47091.666666666664,57.36080874363992,1.0,85.1,Well Resourced,At Risk,Strong operational capacity with 47092 avg monthly updates and 57/100 stability. Monitor for demand surge.
Andhra Pradesh,Hyderabad,16901.166666666668,58.57661412624828,1.0,62.0,Adequately Resourced,At Risk,Stable operations (16901 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,K.V.Rangareddy,258.2,35.874257307685184,1.0,36.1,Adequately Resourced,At Risk,Stable operations (258 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,K.v. Rangareddy,95.0,31.1131761854665,1.0,36.0,Adequately Resourced,At Risk,Stable operations (95 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Kakinada,4482.0,50.82473415742661,1.0,47.2,Adequately Resourced,At Risk,Stable operations (4482 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Karim Nagar,415.0,26.698593088240685,1.0,34.7,Under-Resourced,At Risk,Limited update activity (415/month) limits current capacity. High volatility suggests process issues.
Andhra Pradesh,Karimnagar,3846.3333333333335,43.326054428269515,1.0,43.9,Adequately Resourced,At Risk,Stable operations (3846 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Khammam,9532.166666666666,51.34070905035688,1.0,52.3,Adequately Resourced,At Risk,Stable operations (9532 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Krishna,35625.666666666664,61.512035724237144,1.0,81.2,Well Resourced,Yes,Strong operational capacity with 35626 avg monthly updates and 62/100 stability. Ready for demand growth.
Andhra Pradesh,Kurnool,50711.666666666664,63.40908331328797,1.0,87.2,Well Resourced,Yes,Strong operational capacity with 50712 avg monthly updates and 63/100 stability. Ready for demand growth.
Andhra Pradesh,Mahabub Nagar,4317.333333333333,24.635332481277253,1.0,37.8,Adequately Resourced,At Risk,Stable operations (4317 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Mahabubnagar,50.25,71.6345184705187,1.0,46.8,Adequately Resourced,At Risk,Stable operations (50 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Mahbubnagar,3358.8333333333335,41.899440270220886,1.0,42.9,Adequately Resourced,At Risk,Stable operations (3359 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Medak,4803.833333333333,44.005685295079836,1.0,45.1,Adequately Resourced,At Risk,Stable operations (4804 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,N. T. R,5655.666666666667,57.65761406060405,1.0,50.7,Adequately Resourced,At Risk,Stable operations (5656 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Nalgonda,9100.666666666666,39.841880359758726,1.0,47.8,Adequately Resourced,At Risk,Stable operations (9101 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Nandyal,4468.333333333333,47.4157869552733,1.0,45.9,Adequately Resourced,At Risk,Stable operations (4468 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Nellore,24397.166666666668,56.26152485007812,1.0,68.5,Well Resourced,At Risk,Strong operational capacity with 24397 avg monthly updates and 56/100 stability. Monitor for demand surge.
Andhra Pradesh,Nizamabad,2225.1666666666665,45.42077797714286,1.0,43.1,Adequately Resourced,At Risk,Stable operations (2225 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Palnadu,4190.0,35.015158623139605,1.0,41.3,Adequately Resourced,At Risk,Stable operations (4190 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Parvathipuram Manyam,2238.6666666666665,51.73849518667577,1.0,45.3,Adequately Resourced,At Risk,Stable operations (2239 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Prakasam,34981.166666666664,52.85214208740978,1.0,77.6,Well Resourced,At Risk,Strong operational capacity with 34981 avg monthly updates and 53/100 stability. Monitor for demand surge.
Andhra Pradesh,Rangareddi,9437.0,59.14845485616178,1.0,54.9,Adequately Resourced,At Risk,Stable operations (9437 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Spsr Nellore,0.0,100.0,1.0,55.0,Adequately Resourced,At Risk,Stable operations (0 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Sri Potti Sriramulu Nellore,3701.5,37.478672330482055,1.0,41.7,Adequately Resourced,At Risk,Stable operations (3702 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Sri Sathya Sai,3756.0,41.89378481187932,1.0,43.3,Adequately Resourced,At Risk,Stable operations (3756 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Srikakulam,30353.833333333332,59.30254088237913,1.0,75.3,Well Resourced,At Risk,Strong operational capacity with 30354 avg monthly updates and 59/100 stability. Monitor for demand surge.
Andhra Pradesh,Tirupati,4966.833333333333,48.90068434177904,1.0,47.0,Adequately Resourced,At Risk,Stable operations (4967 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Visakhapatanam,0.0,50.0,0.5,26.7,Under-Resourced,At Risk,Limited update activity (0/month) limits current capacity. Requires staffing or process review.
Andhra Pradesh,Visakhapatnam,44899.333333333336,55.03471675375133,1.0,84.3,Well Resourced,At Risk,Strong operational capacity with 44899 avg monthly updates and 55/100 stability. Monitor for demand surge.
Andhra Pradesh,Vizianagaram,23831.833333333332,52.9131695220314,1.0,66.7,Well Resourced,At Risk,Strong operational capacity with 23832 avg monthly updates and 53/100 stability. Monitor for demand surge.
Andhra Pradesh,Warangal,10903.5,50.90464484014758,1.0,53.4,Adequately Resourced,At Risk,Stable operations (10904 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,West Godavari,35952.666666666664,61.14833557605779,1.0,81.4,Well Resourced,Yes,Strong operational capacity with 35953 avg monthly updates and 61/100 stability. Ready for demand growth.
Andhra Pradesh,Y. S. R,4416.333333333333,56.86626945974491,1.0,49.2,Adequately Resourced,At Risk,Stable operations (4416 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Anjaw,208.66666666666666,38.90939043782607,1.0,38.8,Adequately Resourced,At Risk,Stable operations (209 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Changlang,1738.3333333333333,27.778214449705306,1.0,36.4,Adequately Resourced,At Risk,Stable operations (1738 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Dibang Valley,82.5,14.686623967482285,1.0,30.2,Under-Resourced,At Risk,Limited update activity (82/month) limits current capacity. High volatility suggests process issues.
Arunachal Pradesh,East Kameng,708.5,33.46080538609932,1.0,37.4,Adequately Resourced,At Risk,Stable operations (708 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,East Siang,804.6666666666666,36.278577930125145,1.0,38.5,Adequately Resourced,At Risk,Stable operations (805 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Kamle,76.83333333333333,9.174383385856581,1.0,28.3,Under-Resourced,At Risk,Limited update activity (77/month) limits current capacity. High volatility suggests process issues.
Arunachal Pradesh,Kra Daadi,170.16666666666666,58.95982114548407,1.0,45.8,Adequately Resourced,At Risk,Stable operations (170 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Kurung Kumey,344.3333333333333,48.85645317896367,1.0,42.4,Adequately Resourced,At Risk,Stable operations (344 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Leparada,14.75,33.7273082878627,1.0,33.5,Under-Resourced,At Risk,Limited update activity (15/month) limits current capacity. High volatility suggests process issues.
Arunachal Pradesh,Lohit,682.0,38.33306725371379,1.0,39.1,Adequately Resourced,At Risk,Stable operations (682 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Longding,461.5,37.38979015338943,1.0,38.5,Adequately Resourced,At Risk,Stable operations (462 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Lower Dibang Valley,418.6666666666667,48.66184787257119,1.0,42.4,Adequately Resourced,At Risk,Stable operations (419 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Lower Siang,125.33333333333333,31.413616014039587,1.0,36.1,Adequately Resourced,At Risk,Stable operations (125 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Lower Subansiri,495.5,49.05942831900703,1.0,42.7,Adequately Resourced,At Risk,Stable operations (496 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Namsai,922.3333333333334,46.908428650236075,1.0,42.3,Adequately Resourced,At Risk,Stable operations (922 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Pakke Kessang,32.2,31.431863557929212,1.0,34.4,Under-Resourced,At Risk,Limited update activity (32/month) limits current capacity. High volatility suggests process issues.
Arunachal Pradesh,Papum Pare,1564.3333333333333,54.067394688002445,1.0,45.4,Adequately Resourced,At Risk,Stable operations (1564 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Shi-yomi,111.5,11.842787716094422,0.5,21.8,Under-Resourced,At Risk,Limited update activity (112/month) limits current capacity. High volatility suggests process issues.
Arunachal Pradesh,Siang,244.16666666666666,43.76175967356989,1.0,40.6,Adequately Resourced,At Risk,Stable operations (244 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Tawang,429.1666666666667,36.764885334803495,1.0,38.3,Adequately Resourced,At Risk,Stable operations (429 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Tirap,363.8333333333333,38.59215344374626,1.0,38.9,Adequately Resourced,At Risk,Stable operations (364 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Upper Siang,423.3333333333333,29.472051542334892,1.0,35.7,Adequately Resourced,At Risk,Stable operations (423 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,Upper Subansiri,559.1666666666666,66.20713298047802,1.0,48.7,Adequately Resourced,At Risk,Stable operations (559 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,West Kameng,938.1666666666666,52.52653120010544,1.0,44.3,Adequately Resourced,At Risk,Stable operations (938 avg updates) but moderate growth headroom. Monitor capacity trends.
Arunachal Pradesh,West Siang,942.6666666666666,30.556828520359204,1.0,36.6,Adequately Resourced,At Risk,Stable operations (943 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Bajali,216.75,34.36386855909745,1.0,33.9,Under-Resourced,At Risk,Limited update activity (217/month) limits current capacity. High volatility suggests process issues.
Assam,Baksa,3784.3333333333335,29.044189269759656,1.0,38.9,Adequately Resourced,At Risk,Stable operations (3784 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Barpeta,18602.333333333332,44.95939425352526,1.0,58.9,Adequately Resourced,At Risk,Stable operations (18602 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Biswanath,2325.1666666666665,31.215657196542534,1.0,38.2,Adequately Resourced,At Risk,Stable operations (2325 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Bongaigaon,8144.0,49.29629698783155,0.0,35.2,Adequately Resourced,At Risk,Stable operations (8144 avg updates) but moderate growth headroom. Improve anomaly response.
Assam,Cachar,15033.333333333334,39.74399096096897,1.0,53.6,Adequately Resourced,At Risk,Stable operations (15033 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Charaideo,2391.1666666666665,42.29652303628898,1.0,42.1,Adequately Resourced,At Risk,Stable operations (2391 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Chirang,5191.5,37.41075680059688,1.0,43.2,Adequately Resourced,At Risk,Stable operations (5192 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Darrang,6548.5,35.33089681052349,1.0,43.7,Adequately Resourced,At Risk,Stable operations (6548 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Dhemaji,5037.166666666667,34.760615369217476,1.0,42.1,Adequately Resourced,At Risk,Stable operations (5037 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Dhubri,17501.666666666668,34.73593910069332,1.0,54.2,Adequately Resourced,At Risk,Stable operations (17502 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Dibrugarh,5922.333333333333,42.579177732638094,1.0,45.7,Adequately Resourced,At Risk,Stable operations (5922 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Dima Hasao,50.833333333333336,12.111002379939077,1.0,29.3,Under-Resourced,At Risk,Limited update activity (51/month) limits current capacity. High volatility suggests process issues.
Assam,Goalpara,9017.5,41.0390276176993,1.0,48.2,Adequately Resourced,At Risk,Stable operations (9018 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Golaghat,5683.5,34.1648315515856,1.0,42.5,Adequately Resourced,At Risk,Stable operations (5684 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Hailakandi,6139.5,46.7628940162845,1.0,47.3,Adequately Resourced,At Risk,Stable operations (6140 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Hojai,6903.0,43.43118309169199,1.0,46.9,Adequately Resourced,At Risk,Stable operations (6903 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Jorhat,4387.166666666667,35.270643899361986,1.0,41.6,Adequately Resourced,At Risk,Stable operations (4387 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Kamrup,10756.166666666666,36.436428935836055,1.0,48.2,Adequately Resourced,At Risk,Stable operations (10756 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Kamrup Metro,6018.5,35.87637869646965,1.0,43.4,Adequately Resourced,At Risk,Stable operations (6018 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Karbi Anglong,8813.5,31.258974234459654,1.0,44.5,Adequately Resourced,At Risk,Stable operations (8814 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Karimganj,10605.166666666666,22.692250345020348,1.0,43.3,Adequately Resourced,At Risk,Stable operations (10605 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Kokrajhar,5547.833333333333,31.400631839181475,1.0,41.4,Adequately Resourced,At Risk,Stable operations (5548 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Lakhimpur,7592.5,31.037062728357128,1.0,43.3,Adequately Resourced,At Risk,Stable operations (7592 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Majuli,774.6666666666666,35.85152591032335,1.0,38.3,Adequately Resourced,At Risk,Stable operations (775 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Marigaon,9441.5,30.39956125295964,1.0,44.8,Adequately Resourced,At Risk,Stable operations (9442 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Nagaon,27848.0,37.01817472281382,1.0,65.1,Well Resourced,At Risk,Strong operational capacity with 27848 avg monthly updates and 37/100 stability. Monitor for demand surge.
Assam,Nalbari,5139.833333333333,28.80472670052378,1.0,40.1,Adequately Resourced,At Risk,Stable operations (5140 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,North Cachar Hills,1018.5,28.27617572402706,1.0,35.9,Adequately Resourced,At Risk,Stable operations (1018 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Sibsagar,3297.8333333333335,37.42504171245633,1.0,41.3,Adequately Resourced,At Risk,Stable operations (3298 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Sivasagar,0.0,100.0,1.0,53.3,Adequately Resourced,At Risk,Stable operations (0 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Sonitpur,8793.666666666666,30.5064638652622,1.0,44.2,Adequately Resourced,At Risk,Stable operations (8794 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,South Salmara Mankachar,3571.3333333333335,31.627310970703277,1.0,39.5,Adequately Resourced,At Risk,Stable operations (3571 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Sribhumi,1361.0,33.43787457132309,1.0,34.7,Under-Resourced,At Risk,Limited update activity (1361/month) limits current capacity. High volatility suggests process issues.
Assam,Tamulpur District,334.5,45.83308137975442,1.0,38.0,Adequately Resourced,At Risk,Stable operations (334 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Tinsukia,6695.666666666667,33.54607067143117,1.0,43.3,Adequately Resourced,At Risk,Stable operations (6696 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,Udalguri,4711.833333333333,29.08555846257443,1.0,39.8,Adequately Resourced,At Risk,Stable operations (4712 avg updates) but moderate growth headroom. Monitor capacity trends.
Assam,West Karbi Anglong,610.5,28.28524800027386,1.0,35.5,Adequately Resourced,At Risk,Stable operations (610 avg updates) but moderate growth headroom. Monitor capacity trends.
BALANAGAR,IDPL COLONY,2.0,50.0,0.5,26.7,Under-Resourced,At Risk,Limited update activity (2/month) limits current capacity. Requires staffing or process review.
Bihar,Araria,33493.5,39.12628370612687,1.0,71.3,Well Resourced,At Risk,Strong operational capacity with 33494 avg monthly updates and 39/100 stability. Monitor for demand surge.
Bihar,Arwal,6496.0,37.96383895097301,1.0,44.6,Adequately Resourced,At Risk,Stable operations (6496 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Aurangabad,22870.0,39.303403183514945,1.0,61.0,Adequately Resourced,At Risk,Stable operations (22870 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Aurangabad(BH),8.5,44.76773920426446,1.0,37.3,Adequately Resourced,At Risk,Stable operations (8 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Aurangabad(bh),223.0,59.25231546186907,1.0,42.6,Adequately Resourced,At Risk,Stable operations (223 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Banka,20727.0,39.40377572460416,1.0,59.0,Adequately Resourced,At Risk,Stable operations (20727 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Begusarai,29939.5,37.469475574804115,1.0,67.3,Well Resourced,At Risk,Strong operational capacity with 29940 avg monthly updates and 37/100 stability. Monitor for demand surge.
Bihar,Bhabua,41.25,55.34037280601242,1.0,41.1,Adequately Resourced,At Risk,Stable operations (41 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Bhagalpur,31663.833333333332,40.52405254488303,1.0,70.0,Well Resourced,At Risk,Strong operational capacity with 31664 avg monthly updates and 41/100 stability. Monitor for demand surge.
Bihar,Bhojpur,27638.5,28.84470684466936,1.0,62.0,Adequately Resourced,At Risk,Stable operations (27638 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Buxar,14688.5,40.383292176272484,1.0,53.4,Adequately Resourced,At Risk,Stable operations (14688 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Darbhanga,40518.833333333336,45.53157310382536,1.0,80.4,Well Resourced,At Risk,Strong operational capacity with 40519 avg monthly updates and 46/100 stability. Monitor for demand surge.
Bihar,East Champaran,52836.166666666664,35.96455748568193,1.0,77.6,Well Resourced,At Risk,Strong operational capacity with 52836 avg monthly updates and 36/100 stability. Monitor for demand surge.
Bihar,Gaya,39162.833333333336,36.85456918077715,1.0,76.1,Well Resourced,At Risk,Strong operational capacity with 39163 avg monthly updates and 37/100 stability. Monitor for demand surge.
Bihar,Gopalganj,23571.5,42.34048993988097,1.0,62.8,Adequately Resourced,At Risk,Stable operations (23572 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Jamui,16361.333333333334,36.599895642207194,1.0,53.8,Adequately Resourced,At Risk,Stable operations (16361 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Jehanabad,9680.166666666666,33.32023096385303,1.0,46.1,Adequately Resourced,At Risk,Stable operations (9680 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Kaimur (Bhabua),17068.833333333332,44.05090530866991,1.0,57.1,Adequately Resourced,At Risk,Stable operations (17069 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Katihar,43262.833333333336,45.039976998178986,1.0,80.8,Well Resourced,At Risk,Strong operational capacity with 43263 avg monthly updates and 45/100 stability. Monitor for demand surge.
Bihar,Khagaria,17666.333333333332,32.94273628145158,1.0,53.7,Adequately Resourced,At Risk,Stable operations (17666 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Kishanganj,35093.0,29.04095536201113,1.0,69.4,Well Resourced,At Risk,Strong operational capacity with 35093 avg monthly updates and 29/100 stability. Monitor for demand surge.
Bihar,Lakhisarai,11446.166666666666,37.129394375918224,1.0,49.1,Adequately Resourced,At Risk,Stable operations (11446 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Madhepura,22830.5,41.89727571564097,1.0,61.9,Adequately Resourced,At Risk,Stable operations (22830 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Madhubani,44358.666666666664,42.297642916074345,1.0,79.8,Well Resourced,At Risk,Strong operational capacity with 44359 avg monthly updates and 42/100 stability. Monitor for demand surge.
Bihar,Monghyr,95.25,55.32166417243405,1.0,41.1,Adequately Resourced,At Risk,Stable operations (95 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Munger,11869.833333333334,35.53600446674381,1.0,49.0,Adequately Resourced,At Risk,Stable operations (11870 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Muzaffarpur,46107.166666666664,39.22906384666288,1.0,78.7,Well Resourced,At Risk,Strong operational capacity with 46107 avg monthly updates and 39/100 stability. Monitor for demand surge.
Bihar,Nalanda,32792.833333333336,25.834320209113777,1.0,66.0,Well Resourced,At Risk,Strong operational capacity with 32793 avg monthly updates and 26/100 stability. Monitor for demand surge.
Bihar,Nawada,19471.5,38.03945767841885,1.0,57.3,Adequately Resourced,At Risk,Stable operations (19472 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Pashchim Champaran,238.66666666666666,19.278509070267496,1.0,32.0,Under-Resourced,At Risk,Limited update activity (239/month) limits current capacity. High volatility suggests process issues.
Bihar,Patna,52937.333333333336,38.46583152331429,1.0,78.5,Well Resourced,At Risk,Strong operational capacity with 52937 avg monthly updates and 38/100 stability. Monitor for demand surge.
Bihar,Purba Champaran,299.5,63.37511772075916,1.0,44.1,Adequately Resourced,At Risk,Stable operations (300 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Purbi Champaran,0.0,100.0,1.0,55.0,Adequately Resourced,At Risk,Stable operations (0 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Purnea,1007.1666666666666,43.943900936000254,1.0,41.4,Adequately Resourced,At Risk,Stable operations (1007 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Purnia,41870.666666666664,56.98689622331757,1.0,84.9,Well Resourced,At Risk,Strong operational capacity with 41871 avg monthly updates and 57/100 stability. Monitor for demand surge.
Bihar,Rohtas,27155.166666666668,39.72244359470695,1.0,65.4,Well Resourced,At Risk,Strong operational capacity with 27155 avg monthly updates and 40/100 stability. Monitor for demand surge.
Bihar,Saharsa,21530.166666666668,39.858271031379964,1.0,59.9,Adequately Resourced,At Risk,Stable operations (21530 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Samastipur,43286.0,36.21471473979596,1.0,77.7,Well Resourced,At Risk,Strong operational capacity with 43286 avg monthly updates and 36/100 stability. Monitor for demand surge.
Bihar,Samstipur,160.75,58.049389672623896,1.0,42.1,Adequately Resourced,At Risk,Stable operations (161 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Saran,36012.0,39.44658853698876,1.0,73.9,Well Resourced,At Risk,Strong operational capacity with 36012 avg monthly updates and 39/100 stability. Monitor for demand surge.
Bihar,Sheikhpura,7984.5,38.941067274545084,1.0,46.4,Adequately Resourced,At Risk,Stable operations (7984 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Sheikpura,77.75,43.65471772236067,1.0,37.0,Adequately Resourced,At Risk,Stable operations (78 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Sheohar,6926.0,39.35808730567713,1.0,45.5,Adequately Resourced,At Risk,Stable operations (6926 avg updates) but moderate growth headroom. Monitor capacity trends.
Bihar,Sitamarhi,37454.666666666664,41.66888717829376,1.0,76.1,Well Resourced,At Risk,Strong operational capacity with 37455 avg monthly updates and 42/100 stability. Monitor for demand surge.
